site,country,label,method,alpha,n_cal,coverage_mean,coverage_p05,coverage_sd,review_rate,mean_set_size,valid,n_positive,reliable_estimate
code15_like,BR,STACH,hybrid_g0,0.1,100,0.9670833333333334,0.9660208333333333,0.0006871842709362791,0.0321,0.9679000000000001,True,66,True
code15_like,BR,STACH,hybrid_g0.02,0.1,100,0.9735083333333334,0.9725,0.0005897857426406713,0.024449999999999993,0.97555,True,66,True
code15_like,BR,STACH,hybrid_g0.05,0.1,100,0.981175,0.9804166666666667,0.0005183440513361217,0.012450000000000001,0.9875499999999999,True,66,True
korea_like,KR,AF,split_target,0.1,100,0.8963499999999999,0.8374583333333333,0.03307467980864583,0.10171666666666666,0.8982833333333333,False,16,False
korea_like,KR,AF,weighted_source,0.1,100,0.99035,0.99,0.0003370624736026084,0.004775000000000001,0.9952249999999998,True,16,False
korea_like,KR,AF,hybrid_g0,0.1,100,0.99035,0.99,0.0003370624736026084,0.004775000000000001,0.9952249999999998,True,16,False
korea_like,KR,AF,hybrid_g0.02,0.1,100,0.9923249999999999,0.9920833333333333,0.00027751376342246496,0.0016,0.9984000000000001,True,16,False
korea_like,KR,AF,hybrid_g0.05,0.1,100,0.9923249999999999,0.9920833333333333,0.00027751376342246496,0.0008166666666666666,0.9991833333333333,True,16,False
korea_like,KR,IAVB,split_target,0.1,100,0.8987166666666667,0.8520208333333333,0.025662992161216636,0.08891666666666667,0.9110833333333334,False,38,True
korea_like,KR,IAVB,weighted_source,0.1,100,0.9206916666666668,0.9195833333333333,0.0009151882016527749,0.06648333333333334,0.9335166666666668,True,38,True
korea_like,KR,IAVB,hybrid_g0,0.1,100,0.9206916666666668,0.9195833333333333,0.0009151882016527749,0.06648333333333334,0.9335166666666668,True,38,True
korea_like,KR,IAVB,hybrid_g0.02,0.1,100,0.9339416666666668,0.9325,0.0008668669640339086,0.053233333333333334,0.9467666666666666,True,38,True
korea_like,KR,IAVB,hybrid_g0.05,0.1,100,0.9619666666666666,0.9610208333333333,0.0006563789555838346,0.023591666666666667,0.9764083333333332,True,38,True
korea_like,KR,RBBB,split_target,0.1,100,0.8981333333333335,0.849125,0.02976006365733932,0.10181666666666667,0.8981833333333334,False,47,True
korea_like,KR,RBBB,weighted_source,0.1,100,0.8115416666666667,0.8091666666666667,0.0015969806580613955,0.1884583333333333,0.8115416666666667,False,47,True
korea_like,KR,RBBB,hybrid_g0,0.1,100,0.8115416666666667,0.8091666666666667,0.0015969806580613955,0.1884583333333333,0.8115416666666667,False,47,True
korea_like,KR,RBBB,hybrid_g0.02,0.1,100,0.859575,0.8572708333333333,0.001410501289928122,0.140425,0.859575,False,47,True
korea_like,KR,RBBB,hybrid_g0.05,0.1,100,0.9203833333333332,0.91875,0.0010166666666666675,0.07961666666666666,0.9203833333333332,True,47,True
korea_like,KR,LBBB,split_target,0.1,100,0.9129916666666666,0.8684999999999999,0.02553166470831422,0.08700833333333334,0.9129916666666666,True,6,False
korea_like,KR,LBBB,weighted_source,0.1,100,0.9891750000000001,0.98875,0.0004369242242972776,0.010824999999999998,0.9891750000000001,True,6,False
korea_like,KR,LBBB,hybrid_g0,0.1,100,0.9891750000000001,0.98875,0.0004369242242972776,0.010824999999999998,0.9891750000000001,True,6,False
korea_like,KR,LBBB,hybrid_g0.02,0.1,100,0.9924250000000001,0.9920833333333333,0.0004056031174546027,0.007575000000000002,0.9924250000000001,True,6,False
korea_like,KR,LBBB,hybrid_g0.05,0.1,100,0.9963833333333335,0.99625,0.0001943650631615404,0.003616666666666667,0.9963833333333335,True,6,False
korea_like,KR,SB,split_target,0.1,100,0.9032583333333334,0.8286666666666667,0.036902150080389017,0.05370833333333334,0.9998083333333334,True,266,True
korea_like,KR,SB,weighted_source,0.1,100,0.8068500000000001,0.8043541666666667,0.0016269432824915682,0.163175,0.836825,False,266,True
korea_like,KR,SB,hybrid_g0,0.1,100,0.8068500000000001,0.8043541666666667,0.0016269432824915682,0.163175,0.836825,False,266,True
korea_like,KR,SB,hybrid_g0.02,0.1,100,0.83315,0.83,0.001592430008927649,0.12975833333333334,0.8702416666666665,False,266,True
korea_like,KR,SB,hybrid_g0.05,0.1,100,0.882825,0.8808333333333334,0.0011997974366070687,0.04455,0.9554499999999999,False,266,True
korea_like,KR,STACH,split_target,0.1,100,0.9024166666666668,0.8499791666666666,0.029520825982120937,0.09758333333333333,0.9024166666666668,True,25,True
korea_like,KR,STACH,weighted_source,0.1,100,0.9928416666666666,0.9925,0.0003602661053535929,0.006766666666666666,0.9932333333333334,True,25,True
korea_like,KR,STACH,hybrid_g0,0.1,100,0.9928416666666666,0.9925,0.0003602661053535929,0.006766666666666666,0.9932333333333334,True,25,True
korea_like,KR,STACH,hybrid_g0.02,0.1,100,0.994425,0.9941666666666666,0.0002991887178502876,0.005183333333333333,0.9948166666666666,True,25,True
korea_like,KR,STACH,hybrid_g0.05,0.1,100,0.9968416666666668,0.9966666666666667,0.0002370243775554511,0.002766666666666667,0.9972333333333334,True,25,True
