site,country,label,method,n_cal,n_repeats,ece_mean,ece_median,ece_q90,n_positive,reliable_estimate
code15_like,BR,RBBB,prior_correction,400,20,0.02233454296807085,0.022124773271230552,0.026711703139866795,65,True
code15_like,BR,RBBB,temperature,400,20,0.01385085843683551,0.014075356783732349,0.014578239452784964,65,True
code15_like,BR,RBBB,platt,400,20,0.004606708158556275,0.0037260234607984746,0.008562578663376069,65,True
code15_like,BR,RBBB,isotonic,400,20,0.0036068099592726248,0.0029398616042104336,0.007280548904824134,65,True
code15_like,BR,RBBB,hybrid,400,20,0.01891905092166786,0.020606894502668862,0.024677173337446914,65,True
code15_like,BR,RBBB,identity,800,20,0.014233562575815553,0.014204914972595614,0.015793700569844197,65,True
code15_like,BR,RBBB,prior_correction,800,20,0.022488804219999083,0.022194907266711757,0.025563836956285207,65,True
code15_like,BR,RBBB,temperature,800,20,0.01390160345329238,0.013782227302831995,0.015066500086866899,65,True
code15_like,BR,RBBB,platt,800,20,0.0037879260164698446,0.004237963369970994,0.006115857605892597,65,True
code15_like,BR,RBBB,isotonic,800,20,0.0032660775911922775,0.0024125035658607488,0.0068890212057202355,65,True
code15_like,BR,RBBB,hybrid,800,20,0.020616868127501426,0.0218570886621618,0.024584731943812745,65,True
code15_like,BR,LBBB,identity,0,1,0.010210895394788541,0.010210895394788541,0.010210895394788541,19,False
code15_like,BR,LBBB,prior_correction,0,1,0.10106399495699361,0.10106399495699361,0.10106399495699361,19,False
code15_like,BR,LBBB,temperature,0,20,0.010197427654539631,0.01020724527516993,0.010211448251179955,19,False
code15_like,BR,LBBB,platt,0,20,0.010197427654539631,0.01020724527516993,0.010211448251179955,19,False
code15_like,BR,LBBB,isotonic,0,20,0.010197427654539631,0.01020724527516993,0.010211448251179955,19,False
code15_like,BR,LBBB,hybrid,0,20,0.010197427654539631,0.01020724527516993,0.010211448251179955,19,False
code15_like,BR,LBBB,identity,25,20,0.010221317071265255,0.010283428144902438,0.010303433212323191,19,False
code15_like,BR,LBBB,prior_correction,25,20,0.08299081987360293,0.07934105283672124,0.10926066139664199,19,False
code15_like,BR,LBBB,temperature,25,20,0.009845373179664633,0.010280346881264977,0.01030404654862648,19,False
code15_like,BR,LBBB,platt,25,20,0.009388064163045183,0.010275118333561643,0.01030142664231064,19,False
code15_like,BR,LBBB,isotonic,25,20,0.007423664026050015,0.007676767676767677,0.00774325345321004,19,False
code15_like,BR,LBBB,hybrid,25,20,0.08937235222565906,0.08190904113723987,0.10945084124021447,19,False
code15_like,BR,LBBB,identity,50,20,0.010243065345085716,0.010297938816397668,0.010404053141258137,19,False
code15_like,BR,LBBB,prior_correction,50,20,0.08314014779507128,0.082442138447301,0.09368356534962384,19,False
code15_like,BR,LBBB,temperature,50,20,0.00918338028587412,0.010160605759951438,0.010395405838390222,19,False
code15_like,BR,LBBB,platt,50,20,0.008722756401645132,0.010160605759951438,0.010395405838390222,19,False
code15_like,BR,LBBB,isotonic,50,20,0.007310872624537511,0.007753520012656225,0.007822709250036544,19,False
code15_like,BR,LBBB,hybrid,50,20,0.08909031577737096,0.08752216231461192,0.10232921267750601,19,False
code15_like,BR,LBBB,identity,100,20,0.01023688836499645,0.010353446178619958,0.010564397504470335,19,False
code15_like,BR,LBBB,prior_correction,100,20,0.0838757380958195,0.08515569559747788,0.09412713595279588,19,False
code15_like,BR,LBBB,temperature,100,20,0.009285152613526516,0.008811633973419658,0.011142702811642164,19,False
code15_like,BR,LBBB,platt,100,20,0.006906607536504938,0.007044217693720754,0.01054656019876742,19,False
code15_like,BR,LBBB,isotonic,100,20,0.0053582555976909845,0.005443642760512792,0.007916666666666667,19,False
code15_like,BR,LBBB,hybrid,100,20,0.09828064860611832,0.09514276962140292,0.12031821185008046,19,False
code15_like,BR,LBBB,identity,200,20,0.010201470130496677,0.01023782899271266,0.010696650562051085,19,False
code15_like,BR,LBBB,prior_correction,200,20,0.08306216910494266,0.08173990955233112,0.08965009858604338,19,False
code15_like,BR,LBBB,temperature,200,20,0.010249836168873191,0.010725391395967027,0.012381125736347875,19,False
code15_like,BR,LBBB,platt,200,20,0.0023483612855212006,0.00072285013043599,0.007675276657987508,19,False
code15_like,BR,LBBB,isotonic,200,20,0.002167501705118587,0.0011439156878634942,0.00558511591948722,19,False
code15_like,BR,LBBB,hybrid,200,20,0.10120777268060957,0.10209139324231725,0.11381024434763592,19,False
code15_like,BR,LBBB,identity,400,20,0.010203951654957341,0.010382055989755671,0.01085664319918994,19,False
code15_like,BR,LBBB,prior_correction,400,20,0.08304855724892843,0.08265107772567423,0.08484023612805197,19,False
code15_like,BR,LBBB,temperature,400,20,0.009752572890258358,0.00970330818200799,0.012216969490516844,19,False
code15_like,BR,LBBB,platt,400,20,0.0009375736017724406,7.2680951403295065e-06,0.0024674337593459986,19,False
code15_like,BR,LBBB,isotonic,400,20,0.0012963577465299077,0.0005869575026473061,0.0027472671489748115,19,False
code15_like,BR,LBBB,hybrid,400,20,0.10342907118272679,0.10349024001556964,0.10976640166831012,19,False
code15_like,BR,LBBB,identity,800,20,0.010311844737868931,0.010447222693198796,0.01158539261777891,19,False
code15_like,BR,LBBB,prior_correction,800,20,0.08306083437473365,0.08286932590599527,0.08646610509864418,19,False
code15_like,BR,LBBB,temperature,800,20,0.009675246697388642,0.009608549809972966,0.010663413356154746,19,False
code15_like,BR,LBBB,platt,800,20,8.877910064122314e-05,4.5350185720871e-07,1.00857729154598e-05,19,False
code15_like,BR,LBBB,isotonic,800,20,0.0006437939789026212,0.00031991306206545283,0.002310889835220754,19,False
code15_like,BR,LBBB,hybrid,800,20,0.1037773091707761,0.10382889223701751,0.10758716143842316,19,False
code15_like,BR,SB,identity,0,1,0.05160355325846901,0.05160355325846901,0.05160355325846901,100,True
code15_like,BR,SB,prior_correction,0,1,0.040032025620496396,0.040032025620496396,0.040032025620496396,100,True
code15_like,BR,SB,temperature,0,20,0.05159255545779608,0.05158319625498043,0.05161206914904702,100,True
code15_like,BR,SB,platt,0,20,0.05159255545779608,0.05158319625498043,0.05161206914904702,100,True
code15_like,BR,SB,isotonic,0,20,0.05159255545779608,0.05158319625498043,0.05161206914904702,100,True
code15_like,BR,SB,hybrid,0,20,0.05159255545779608,0.05158319625498043,0.05161206914904702,100,True
code15_like,BR,SB,identity,25,20,0.05160489535608063,0.05159565122866536,0.05188043627763708,100,True
code15_like,BR,SB,prior_correction,25,20,0.08915776584012734,0.08709543480812283,0.12164342149871284,100,True
code15_like,BR,SB,temperature,25,20,0.05166688532838919,0.051399660978116886,0.058907978396940404,100,True
code15_like,BR,SB,platt,25,20,0.045316827095728485,0.04944499156421095,0.051623002851489366,100,True
code15_like,BR,SB,isotonic,25,20,0.03337905371776959,0.04038772213247173,0.04178683241903359,100,True
code15_like,BR,SB,hybrid,25,20,0.09065716352503178,0.08834950170404056,0.12696414190446273,100,True
code15_like,BR,SB,identity,50,20,0.05162542413854933,0.05166694749004433,0.052312626829526844,100,True
code15_like,BR,SB,prior_correction,50,20,0.08750915920325825,0.08750656806535359,0.11415035155785606,100,True
code15_like,BR,SB,temperature,50,20,0.050414803684987464,0.050723573937923726,0.056075295900431026,100,True
code15_like,BR,SB,platt,50,20,0.029669217632938737,0.026807789263319722,0.051308838019227476,100,True
code15_like,BR,SB,isotonic,50,20,0.027072678406719924,0.025296083679223435,0.04130928785601918,100,True
code15_like,BR,SB,hybrid,50,20,0.09216496085130918,0.08741587192587115,0.13226601293177415,100,True
code15_like,BR,SB,identity,100,20,0.05160519458665882,0.05203237905841714,0.05255523307080806,100,True
code15_like,BR,SB,prior_correction,100,20,0.09081128210767878,0.09724737025793832,0.11314723569990037,100,True
code15_like,BR,SB,temperature,100,20,0.05029247693552219,0.05027726771758154,0.0543252665173069,100,True
code15_like,BR,SB,platt,100,20,0.023622853491355754,0.018554126285221212,0.05104510485294449,100,True
code15_like,BR,SB,isotonic,100,20,0.02302446417911012,0.021366055085280496,0.039648411829514556,100,True
code15_like,BR,SB,hybrid,100,20,0.09748778038315797,0.09893314702589409,0.13756436696710603,100,True
code15_like,BR,SB,identity,200,20,0.0519307715745017,0.052026251391999845,0.05299311662156861,100,True
code15_like,BR,SB,prior_correction,200,20,0.09352167956871449,0.09669316764860189,0.10319764258212501,100,True
code15_like,BR,SB,temperature,200,20,0.04922810224442097,0.04844358433476116,0.05593382416567268,100,True
code15_like,BR,SB,platt,200,20,0.016052799603743752,0.014036975651420962,0.02479693771646305,100,True
code15_like,BR,SB,isotonic,200,20,0.018937027471654072,0.01793953216238816,0.03128155617419657,100,True
code15_like,BR,SB,hybrid,200,20,0.09780481176242106,0.10172220785514777,0.11505379075280085,100,True
code15_like,BR,SB,identity,400,20,0.05197417724181399,0.051759589663421514,0.05405994476428315,100,True
code15_like,BR,SB,prior_correction,400,20,0.09388736168358457,0.09417853031869215,0.0986367634249158,100,True
code15_like,BR,SB,temperature,400,20,0.05098519376074977,0.05074975281554739,0.05482792588023391,100,True
code15_like,BR,SB,platt,400,20,0.011222141174719183,0.009089921236951558,0.018804305874918385,100,True
code15_like,BR,SB,isotonic,400,20,0.012221278271782182,0.010498394395649114,0.023758078130748338,100,True
code15_like,BR,SB,hybrid,400,20,0.10017075271073284,0.10028657644095104,0.11140135854056672,100,True
code15_like,BR,SB,identity,800,20,0.051691201161407296,0.051438482382406114,0.05625587264685177,100,True
