site,country,label,n,n_positive,pi_s,pi_t_true,pi_t_bbse,prior_ratio,total,d_label,d_concept,interaction,residual,label_shift_share,label_shift_share_bbse,free_fraction,free_fraction_bbse,realized_gain,realized_gain_bbse,ece_before,ece_after_prior_fix,ece_l1,d_label_l1,d_concept_l1,sign_agreement,gamma_min,gof_p,concept_shift_detected,bbse_degenerate,prior_ratio_implausible,bbse_sigma_min,bbse_trustworthy,reliable_estimate
ptbxl_like,DE,SB,5000,133,0.0808641975308642,0.0266,0.1583736354730331,0.3289465648854962,0.044508315498675934,0.005195541411145635,0.02536036554465793,0.013952408542872368,6.938893903907228e-18,0.11673192644866992,0.05729166741239197,0.11673192644866992,0.05729166741239197,0.36146692337910774,-0.27334531452976024,0.08005316542431412,0.05111659401162853,0.08005316542431412,0.03026800841763603,0.05111659401162853,0.8666,0.2770015267175572,0.001996007984031936,True,False,False,0.06288299562501322,False,True
ptbxl_like,DE,STACH,5000,173,0.10123456790123457,0.0346,0.0016175563790849002,0.341780487804878,-4.244404955521696e-05,0.000396415396285253,0.00044144216943100444,-0.0008803016152714745,5.421010862427522e-20,,,,,,,0.0010946223455490956,0.0058899850147285755,0.0010946223455490958,0.0054818943338405465,0.0058899850147285755,0.9332,0.48433678242381284,0.001996007984031936,True,False,True,0.07156874687662977,False,True
chapman_like,CN,AF,5000,377,0.12160493827160494,0.0754,0.018342448498823535,0.6200406091370557,0.0005306846952801434,0.0008695969897404563,0.0013265165534492001,-0.0016654288479095133,2.168404344971009e-19,1.0,1.0,1.0,1.0,-0.3977104500768451,-1.472507511073075,0.02235920488621177,0.03125169432486745,0.02235920488621177,0.014919136428439492,0.03125169432486745,0.0,0.4758013814274751,0.001996007984031936,True,False,False,0.06799145615477863,False,True
chapman_like,CN,IAVB,5000,279,0.07530864197530865,0.0558,0.7070940421267774,0.7409508196721311,0.009029178551739715,0.0009944875268426336,0.004358205280984605,0.003676485743912475,1.734723475976807e-18,0.11014152850604762,1.0,0.11014152850604762,1.0,0.2804174788145445,-8.576619558052888,0.06499045844267463,0.046765997939178384,0.06499045844267463,0.025725918704641092,0.046765997939178384,0.5334000000000001,0.3018,0.001996007984031936,True,False,False,0.014823404671683702,False,True
chapman_like,CN,RBBB,5000,415,0.07037037037037037,0.083,0.9091635947415375,1.1794736842105262,0.0027906233760819597,1.6997125599193395e-07,0.002834717317241604,-4.426391241563648e-05,4.336808689942018e-19,6.0907988318572e-05,0.049090852089348956,6.0907988318572e-05,0.049090852089348956,-0.007739339428474922,-0.21971871775886376,0.01945636758143355,0.01960694701419144,0.01945636758143355,0.0001505794327578897,0.01960694701419144,0.0,0.11741538461538464,0.001996007984031936,True,False,False,0.06868348199411263,False,True
chapman_like,CN,LBBB,5000,67,0.03271604938271605,0.0134,0.0,0.40958490566037736,2.1691511682099306e-05,8.77372640063396e-07,3.631733098283678e-05,-1.5503191940800866e-05,-3.3881317890172014e-21,0.04044774070713747,1.0,0.04044774070713747,1.0,,,0.0018967925055717251,0.0021388844144745937,0.0018967925055717251,0.00024209190890286866,0.0021388844144745937,0.9332,1.067027951499681,0.001996007984031936,True,True,True,0.03255260413504653,False,True
chapman_like,CN,SB,5000,806,0.0808641975308642,0.1612,0.0983414016518954,1.993465648854962,0.020723599486560298,0.0020676932989373044,0.015461299987593897,0.003194606200029098,0.0,0.09977481471200253,0.007919947421319344,0.09977481471200253,0.007919947421319344,0.18641543696614063,0.04776450092521629,0.06771678515675258,0.055093331061814285,0.06771678515675258,0.01780077143870609,0.055093331061814285,0.33340000000000003,0.40863957219251335,0.001996007984031936,True,False,False,0.06288299562501322,False,True
chapman_like,CN,STACH,5000,323,0.10123456790123457,0.0646,0.020822791531879527,0.6381219512195122,0.001042607304071767,0.0001772746482662569,0.0020470162720557334,-0.0011816836162502236,2.168404344971009e-19,0.17003012310956758,1.0,0.17003012310956758,1.0,-0.34810019906727724,-1.103236263304379,0.012109042157391212,0.016324202142893145,0.012109042157391208,0.004261330260578861,0.01632420214289314,0.7999999999999998,0.4710194188518781,0.001996007984031936,True,False,False,0.07156874687662977,False,True
code15_like,BR,AF,5000,105,0.12160493827160494,0.021,0.8545774057474198,0.17269035532994925,0.274420508799755,0.07885413213790661,0.08356116336205033,0.11200521329979805,0.0,0.2873478096910263,0.9309988242876303,0.2873478096910263,0.9309988242876303,0.5593453037193712,-1.0291716001850963,0.43479987531153097,0.19159660699825795,0.43479987531153097,0.24320326831327302,0.19159660699825795,1.0,0.26073705583756346,0.2315369261477046,False,False,False,0.06799145615477863,True,True
code15_like,BR,IAVB,5000,93,0.07530864197530865,0.0186,1.0,0.246983606557377,0.02484432840034292,0.015252974877423532,0.0013139358880359243,0.008277417634883466,-3.469446951953614e-18,0.6139419279779363,1.0,0.6139419279779363,1.0,0.8111053969842515,-6.56543149531812,0.12972161609120922,0.024503713174110292,0.12972161609120922,0.10679378682852063,0.024503713174110292,0.8666,0.5143540983606557,0.32934131736526945,False,True,False,0.014823404671683702,False,True
