site,country,is_source,label,n,n_positive,prevalence,prevalence_source,prevalence_ratio,mean_score,auroc,auroc_lo,auroc_hi,auprc,ece,ece_lo,ece_hi,ece2,mce,nll,brier,reliability,resolution,reliable_estimate
georgia_like,US,False,SB,5000,384,0.0768,0.0808641975308642,0.9497404580152671,0.08193322030640515,0.9874857831455806,0.984635261522422,0.9900064822086222,0.8149681204152185,0.008976643452515374,0.0053466999475360495,0.01314461648176373,0.0005314978330160241,0.09037647621458422,0.07850521848843649,0.02446424218774118,0.0006100681210733622,0.044784617708007415,True
georgia_like,US,False,STACH,5000,441,0.0882,0.10123456790123457,0.8712439024390244,0.08511424790300728,0.9950987779772288,0.9932845200667092,0.9966107756255972,0.9590452007781092,0.006387007072010097,0.004145342339373192,0.00950735832232075,0.000290619805082515,0.0702793579388093,0.05042523898577247,0.01507685102480504,0.00034571746821711633,0.06212019356530184,True
ptbxl_like,DE,False,AF,5000,410,0.082,0.12160493827160494,0.6743147208121828,0.04677204970304181,0.8905616664009778,0.8732027870768904,0.9088714729794357,0.5628046513569998,0.03533703938632076,0.032717318191174315,0.038733664885358364,0.0030244037119840994,0.14343245738245114,0.20621877354503185,0.0546555283562579,0.0031791670822369725,0.023827923180665702,True
ptbxl_like,DE,False,IAVB,5000,196,0.0392,0.07530864197530865,0.5205245901639344,0.07974656751965788,0.6152494095056841,0.5779532946609118,0.6489251622797328,0.08242810115109042,0.041302527543134425,0.0396724298383585,0.04535536116860911,0.003288504440721747,0.16241258182809776,0.17757546504228547,0.04044274047108804,0.0034009611077632203,0.00028954726510942077,True
ptbxl_like,DE,False,RBBB,5000,276,0.0552,0.07037037037037037,0.7844210526315789,0.05540046861977797,1.0,1.0,1.0,1.0,0.00020046861977797916,1.4595257487365355e-09,0.0006009231617962364,-2.818406011028735e-05,0.003001027242185317,0.002855444150766967,0.00020000081187666682,6.016117891570056e-07,0.04256733125748502,True
ptbxl_like,DE,False,LBBB,5000,131,0.0262,0.03271604938271605,0.8008301886792453,0.026199543446607923,1.0,1.0,1.0,1.0,4.5655339209672435e-07,2.3537238127820642e-09,1.3568075583809304e-06,-4.7819672843014286e-05,6.834631618213294e-06,5.567071729593706e-07,1.006993157875277e-09,3.1203742490262816e-12,0.009589607904191614,True
ptbxl_like,DE,False,SB,5000,133,0.0266,0.0808641975308642,0.3289465648854962,0.1066531654243141,0.9430969039611562,0.9330827067669173,0.9531371319195874,0.26949156358162824,0.08005316542431412,0.07387545030717015,0.08686976933361021,0.044508315498675934,0.7089873468329453,0.2243407960408862,0.06779653474768743,0.044575204471192204,0.0036483300217582853,True
ptbxl_like,DE,False,STACH,5000,173,0.0346,0.10123456790123457,0.341780487804878,0.03451458193913958,0.9990372076146818,0.9985388667550423,0.9994995635101686,0.9735993048087604,0.0010946223455490956,0.000550692981909844,0.002723265643050303,-4.244404955521697e-05,0.008832637772526297,0.015967959055811554,0.004934628675859568,7.64136520085647e-06,0.016724396886227545,True
chapman_like,CN,False,AF,5000,377,0.0754,0.12160493827160494,0.6200406091370557,0.059067442103572045,0.8506969247867455,0.8281685793153939,0.8701554790916827,0.4541203645258173,0.02235920488621177,0.01685620179499284,0.02899120668891948,0.0005306846952801434,0.04915118469085691,0.21278673464245668,0.05441283319920267,0.0006947248121591607,0.015177573991476508,True
chapman_like,CN,False,IAVB,5000,279,0.0558,0.07530864197530865,0.7409508196721311,0.11140557917825739,0.5773775223796064,0.5412923952233557,0.614422043959765,0.10072456253924289,0.06499045844267463,0.06114671050464002,0.0713115368201926,0.009029178551739715,0.26130371264789565,0.24543700592533868,0.06144074651225947,0.009186447797032912,0.00042020582186977394,True
chapman_like,CN,False,RBBB,5000,415,0.083,0.07037037037037037,1.1794736842105262,0.1024563675814336,0.9974842007068624,0.9963920852439201,0.9984680532380339,0.9473531792763606,0.01945636758143355,0.015979928906111305,0.022890829373837462,0.0027906233760819597,0.14584983194218937,0.22671790288709093,0.0186123505774942,0.002837707941907155,0.0447526791604198,True
chapman_like,CN,False,LBBB,5000,67,0.0134,0.03271604938271605,0.40958490566037736,0.01150320749442828,1.0,1.0,1.0,1.0,0.0018967925055717251,0.0010087823547080587,0.002886289342348598,2.1691511682099306e-05,0.02839509738879828,0.008222969823361353,0.0016459144125641827,5.385960792205184e-05,0.0025084639520958083,True
chapman_like,CN,False,SB,5000,806,0.1612,0.0808641975308642,1.993465648854962,0.1022533865953816,0.9650206309143039,0.960022611470244,0.9697555352027177,0.8042589607754979,0.06771678515675258,0.06138904779028926,0.0751564515302022,0.020723599486560298,0.47970337184881345,0.3173965411720602,0.07821299128394901,0.020892600657127013,0.07904715247271224,True
chapman_like,CN,False,STACH,5000,323,0.0646,0.10123456790123457,0.6381219512195122,0.05261033434546928,0.9956899947109595,0.9940844664390857,0.9969648421132067,0.952467832864861,0.012109042157391212,0.009624343787269575,0.01487404717263099,0.0010426073040717672,0.10602670590163243,0.046679891784480516,0.013707649037559872,0.0010873589166611982,0.04554461885670101,True
code15_like,BR,False,AF,5000,105,0.021,0.12160493827160494,0.17269035532994925,0.455799875311531,0.8501386254195243,0.8071578870567635,0.8918552945182159,0.42612461352776715,0.43479987531153097,0.4259070862612091,0.44468590637635314,0.274420508799755,0.8996712539573372,0.8993607106683034,0.292774923139237,0.2744755185674767,0.002258009188829549,True
code15_like,BR,False,IAVB,5000,93,0.0186,0.07530864197530865,0.246983606557377,0.14832161609120925,0.5631367083670245,0.5112068342131385,0.6170223687468637,0.032263004583791874,0.12972161609120922,0.12721801249444128,0.13248356929790875,0.024844328400342924,0.3629793382987666,0.20082587255395032,0.043339775781389096,0.024899099808357243,5.057485821150492e-05,True
code15_like,BR,False,RBBB,5000,126,0.0252,0.07037037037037037,0.3581052631578947,0.024557724330575816,0.9999153265464303,0.9998141254860582,0.9999869733148354,0.996934948123676,0.0006422756694241886,4.0493345779378e-05,0.00159736049184014,-4.095194719421884e-05,0.009614905230901027,0.01778366942504234,0.0013577585207394318,6.17541969362709e-06,0.008871546826347302,True
code15_like,BR,False,LBBB,5000,57,0.0114,0.03271604938271605,0.34845283018867923,0.011401401590918025,1.0,1.0,1.0,1.0,1.4015909180243655e-06,1.0634968641380275e-08,4.158287808759296e-06,-2.8391835510772377e-05,2.098189933155692e-05,1.5060726753535303e-06,9.335076965178605e-09,2.940803865058055e-11,0.0018155489820359284,True
