site,country,label,method,alpha,n_cal,pi_t_oracle,pi_t_bbse,coverage_mean,coverage_p05,coverage_sd,review_rate,mean_set_size,valid,n_positive,reliable_estimate
code15_like,BR,IAVB,weighted_source_oracle,0.1,100,0.0186,1.0,0.5694367346938776,0.5676428571428572,0.0010632320101331915,0.4213142857142857,0.5786857142857142,False,93,True
code15_like,BR,IAVB,hybrid_g0,0.1,100,0.0186,1.0,0.998787755102041,0.9987755102040816,4.846670239607372e-05,0.9394244897959182,1.9394244897959183,True,93,True
code15_like,BR,IAVB,hybrid_g0.02,0.1,100,0.0186,1.0,0.9993877551020408,0.9993877551020408,0.0,0.9563918367346939,1.956391836734694,True,93,True
code15_like,BR,IAVB,hybrid_g0.05,0.1,100,0.0186,1.0,0.9997959183673469,0.9997959183673469,0.0,0.9807387755102042,1.9807387755102042,True,93,True
code15_like,BR,RBBB,split_target,0.1,100,0.0252,0.11027806625267579,0.02113469387755102,0.0205,0.00030858870483976847,0.9788653061224489,0.02113469387755102,False,126,True
code15_like,BR,RBBB,weighted_source,0.1,100,0.0252,0.11027806625267579,0.02113469387755102,0.0205,0.00030858870483976847,0.9788653061224489,0.02113469387755102,False,126,True
code15_like,BR,RBBB,weighted_source_oracle,0.1,100,0.0252,0.11027806625267579,0.02113469387755102,0.0205,0.00030858870483976847,0.9788653061224489,0.02113469387755102,False,126,True
code15_like,BR,RBBB,hybrid_g0,0.1,100,0.0252,0.11027806625267579,0.02113469387755102,0.0205,0.00030858870483976847,0.9788653061224489,0.02113469387755102,False,126,True
code15_like,BR,RBBB,hybrid_g0.02,0.1,100,0.0252,0.11027806625267579,0.02113469387755102,0.0205,0.00030858870483976847,0.9788653061224489,0.02113469387755102,False,126,True
code15_like,BR,RBBB,hybrid_g0.05,0.1,100,0.0252,0.11027806625267579,0.02113469387755102,0.0205,0.00030858870483976847,0.9788653061224489,0.02113469387755102,False,126,True
code15_like,BR,LBBB,split_target,0.1,100,0.0114,0.31224423607667534,0.9010857142857143,0.859938775510204,0.025206863929715228,0.09891428571428569,0.9010857142857143,True,57,True
code15_like,BR,LBBB,weighted_source,0.1,100,0.0114,0.31224423607667534,0.9005755102040816,0.899795918367347,0.0005027040583309397,0.09942448979591836,0.9005755102040816,True,57,True
code15_like,BR,LBBB,weighted_source_oracle,0.1,100,0.0114,0.31224423607667534,0.0058285714285714295,0.005489795918367347,0.00015892181497087157,0.9941714285714286,0.0058285714285714295,False,57,True
code15_like,BR,LBBB,hybrid_g0,0.1,100,0.0114,0.31224423607667534,0.9005755102040816,0.899795918367347,0.0005027040583309397,0.09942448979591836,0.9005755102040816,True,57,True
code15_like,BR,LBBB,hybrid_g0.02,0.1,100,0.0114,0.31224423607667534,0.9123836734693878,0.9118367346938776,0.0004553170536288566,0.08761632653061223,0.9123836734693878,True,57,True
