site,country,label,method,n_cal,n_repeats,n_failed,ece_mean,ece_median,ece_q90,n_positive,reliable_estimate
ptbxl_like,DE,LBBB,prior_correction_minimax,100,20,0,0.009893018192345312,0.009906414803895973,0.010125881928625966,131,True
ptbxl_like,DE,LBBB,temperature,100,20,0,1.9616482708172123e-07,2.423994541391611e-07,2.432122339225684e-07,131,True
ptbxl_like,DE,LBBB,platt,100,20,0,4.035847473158813e-07,4.837095079479603e-07,4.849339977883865e-07,131,True
ptbxl_like,DE,LBBB,isotonic,100,20,0,4.638975490204171e-07,4.6584955724904287e-07,4.6587080508896957e-07,131,True
ptbxl_like,DE,LBBB,hybrid,100,20,0,2.0868498368952283e-06,3.024316471008162e-06,3.0248583240827243e-06,131,True
ptbxl_like,DE,LBBB,hybrid_minimax,100,20,0,0.0066801636829068685,0.008157094014587807,0.010089147954556935,131,True
ptbxl_like,DE,LBBB,identity,200,20,0,4.749340961639537e-07,4.7553974303347067e-07,4.7557641063502174e-07,131,True
ptbxl_like,DE,LBBB,prior_correction,200,20,0,4.1867373009552095e-06,4.192169820789932e-06,4.192498557091076e-06,131,True
ptbxl_like,DE,LBBB,prior_correction_gated,200,20,0,4.749340961639537e-07,4.7553974303347067e-07,4.7557641063502174e-07,131,True
ptbxl_like,DE,LBBB,prior_correction_minimax,200,20,0,0.009862694427269482,0.009961563828311034,0.010128500397175218,131,True
ptbxl_like,DE,LBBB,temperature,200,20,0,1.7850666979221664e-07,2.341740425199773e-07,2.3503141228925494e-07,131,True
ptbxl_like,DE,LBBB,platt,200,20,0,3.7591486021591043e-07,4.7378678943651997e-07,4.7507845615489543e-07,131,True
ptbxl_like,DE,LBBB,isotonic,200,20,0,4.7301944279837945e-07,4.7502167258017813e-07,4.755741736941349e-07,131,True
ptbxl_like,DE,LBBB,hybrid,200,20,0,1.7359040460677989e-06,1.7404560938068941e-06,3.100930349439479e-06,131,True
ptbxl_like,DE,LBBB,hybrid_minimax,200,20,0,0.006315262831000193,0.007267971398784443,0.00970154518420889,131,True
ptbxl_like,DE,LBBB,identity,400,20,0,4.954216374040744e-07,4.960290778459031e-07,4.962473192261919e-07,131,True
ptbxl_like,DE,LBBB,prior_correction,400,20,0,4.367316423624124e-06,4.372758332692982e-06,4.374722216744358e-06,131,True
ptbxl_like,DE,LBBB,prior_correction_gated,400,20,0,4.954216374040744e-07,4.960290778459031e-07,4.962473192261919e-07,131,True
ptbxl_like,DE,LBBB,prior_correction_minimax,400,20,0,0.009877565121788298,0.00991757277071479,0.010343121539134031,131,True
ptbxl_like,DE,LBBB,temperature,400,20,0,1.2453666563376488e-07,2.1621744611746707e-07,2.1754498659536104e-07,131,True
ptbxl_like,DE,LBBB,platt,400,20,0,2.908519964137102e-07,4.5199491083107446e-07,4.5399491103333136e-07,131,True
ptbxl_like,DE,LBBB,isotonic,400,20,0,4.925599056073219e-07,4.940728153702417e-07,4.961566370909748e-07,131,True
ptbxl_like,DE,LBBB,hybrid,400,20,0,1.1085027180014403e-06,3.970466157191682e-07,3.262535084632909e-06,131,True
ptbxl_like,DE,LBBB,hybrid_minimax,400,20,0,0.006733202623858199,0.00744254489854756,0.008578746711626664,131,True
ptbxl_like,DE,LBBB,identity,800,20,0,4.886522352079287e-07,5.427102677018065e-07,5.434967132664271e-07,131,True
